ENTRY,NAMES,FORMULA,CHARGE,"GROUPS INVOLVED IN COMPOUND STRUCTURE","ESTIMATED ∆fG'°","SE∆fG'°",NOTES,SMILES,chebi_error
81,palmitoyl-CoA|,C37H63N7O17P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 20 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-763.15,3.91,,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
82,L-homocysteine|,C4H9NO2S,0,">CH- : 1 | -CH2- : 2 | -COO : 1 | -NH3 : 1 | -SH : 1 | Origin : 1",-81.77,0.71,,N[C@@H](CCS)C(O)=O,
83,citrate|cit|,C6H5O7,-3,">C< : 1 | -CH2- : 2 | -COO : 3 | -OH : 1 | Origin : 1",-280.44,0.5,,OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,
84,glycolate|glyclt|,C2H3O3,-1,"-COO : 1 | -CH2- : 1 | -OH : 1 | Origin : 1",-122.98,0.19,,OCC([O-])=O,
85,propanoate|ppa|,C3H5O2,-1,"-COO : 1 | -CH2- : 1 | -CH3 : 1 | Origin : 1",-85.13,0.18,,[O-]C(=O)C(=N)Cc1c[nH]c2c(Cl)cccc12,
86,keto-phenylpyruvate|phenylpyruvate|,C9H7O3,-1,"aromatic ring =C< : 1 | -CH2- : 1 | aromatic ring =CH- : 5 | >C=O : 1 | -COO : 1 | Origin : 1 | OCCO : 1",-75.82,0.83,,[O-]C(=O)C(=O)Cc1ccccc1,
87,3-hydroxypyruvate|,C3H3O4,-1,">C=O : 1 | -COO : 1 | -CH2- : 1 | -OH : 1 | Origin : 1 | OCCO : 1",-148.92,0.32,,OCC(=O)C([O-])=O,
88,carbamoyl-phosphate|cap|,CH3NO5P,-1,"-CO-OPO3- : 1 | amide : 1 | -NH2 : 1 | Origin : 1",-310.26,0.54,,,"no exact name match in CHEBI"
89,L-valine|val-L|,C5H11NO2,0,">CH- : 2 | -COO : 1 | -NH3 : 1 | -CH3 : 2 | Origin : 1",-86.49,0.44,,CC(C)[C@H](N)C(O)=O,
90,dihydroxyacetone|dha|glycerone,C3H6O3,0,">C=O : 1 | -CH2- : 2 | -OH : 2 | Origin : 1",-108.16,0.36,,OCC(=O)CO,
91,L-threonine|thr-L|,C4H9NO3,0,">CH- : 2 | -COO : 1 | -NH3 : 1 | -CH3 : 1 | -OH : 1 | Origin : 1",-124.34,0.41,,C[C@@H](O)[C@H](N)C(O)=O,
92,hydroxylamine|,H3NO,0,"hydroxylamine : 1",-38.9,0.8,,NO,
93,"D-glucono-1,5-lactone|",C6H10O6,0,"ring -CH< : 4 | ring -O-CO- : 1 | -CH2- : 1 | -OH : 4 | Origin : 1",-216.02,1.28,,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,
94,dADP|,C10H13N5O9P2,-2,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 3 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring -CH2- : 1 | ring =C< : 1 | -NH2 : 1 | -CH2- : 1 | -OH : 1 | -OPO2- : 1 | -OPO3 : 1 | Origin : 1 | heteroaromatic : 2",-426.01,2.98,,Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1,
95,acetone|,C3H6O,0,"acetone : 1",-38.52,0.5,,CC(C)=O,
96,adenosine|,C10H13N5O4,0,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring =C< : 1 | -OH : 3 | -NH2 : 1 | -CH2- : 1 | Origin : 1 | heteroaromatic : 2",-45.35,3.04,,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,
97,D-glutamate|glu-L|,C5H8NO4,-1,">CH- : 1 | -CH2- : 2 | -COO : 2 | -NH3 : 1 | Origin : 1",-164.13,0.38,,[NH3+][C@H](CCC([O-])=O)C([O-])=O,
98,3-oxopropanoate|,C3H3O3,-1,"-CH2- : 1 | -COO : 1 | -CH=O : 1 | Origin : 1",-111.88,0.22,,[H]C(=O)CC([O-])=O,
99,acetyl-phosphate|acetyl-p|,C2H4O5P,-1,"-CO-OPO3- : 1 | -CH3 : 1 | Origin : 1",-301.65,0.26,,CC(=O)OP(O)([O-])=O,
100,4-oxobutanoate|,C4H5O3,-1,"-CH2- : 2 | -COO : 1 | -CH=O : 1 | Origin : 1",-110.26,0.26,,[O-]C(=O)CCC=O,
101,10/20-DNA-oligomer|,C15H20N2O10PR2,-1,"ring -CH2- : 2 | ring -CH< : 6 | -OPO3- : 1 | ring -O- : 2 | RW : 2 | -OH : 1 | -CH2- : 2 | -O- : 1 | ring =CH- : 1 | ring =C< : 1 | -CH3 : 1 | ring >C=O : 2 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
102,dimethylallyl-diphosphate|,C5H10O7P2,-2,"-OPO2- : 1 | -OPO3 : 1 | -CH2- : 1 | =CH- : 1 | =C< : 1 | -CH3 : 2 | Origin : 1",-439.18,0.56,,CC(C)=CCOP(O)(=O)OP(O)(O)=O,
103,"2,3-bisphospho-D-glyceric acid|1,3-bpg|",C3H6O10P2,-2,"-CO-OPO3- : 1 | >CH- : 1 | -CH2- : 1 | -OH : 1 | -OPO3 : 1 | Origin : 1",-586.8,0.36,,OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O,
104,dCMP|,C9H13N3O7P,-1,"ring -CH< : 3 | ring >C=O : 1 | ring =CH- : 2 | ring -O- : 1 | ring -CH2- : 1 | ring =N- : 1 | ring =C< : 1 | -CH2- : 1 | -OH : 1 | -NH2 : 1 | -OPO3 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-305.54,1.83,,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)c(=O)n1,
105,guanine|,C5H5N5O,0,"two fused rings >C= : 2 | ring =N- : 2 | ring -NH- : 2 | ring >C=O : 1 | ring =C< : 1 | ring =CH- : 1 | -NH2 : 1 | amide : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",28.4,2.51,,Nc1nc2[nH]cnc2c(=O)[nH]1,
106,lipoamide|,C8H15NOS2,0,"ring -CH< : 1 | ring -CH2- : 2 | ring -S- : 2 | -CH2- : 4 | >C=O : 1 | amide : 1 | -NH2 : 1 | Origin : 1",-21.54,1.63,,NC(=O)CCCCC1CCSS1,
107,palmitate|,C16H31O2,-1,"-CH2- : 14 | -COO : 1 | -CH3 : 1 | Origin : 1",-64.07,1.24,,CCCCCCCCCCCCCCCC([O-])=O,
108,chorismate|,C10H8O6,-2,"ring -CH< : 2 | ring =CH- : 3 | -O- : 1 | ring =C< : 1 | -OH : 1 | =C< : 1 | -COO : 2 | =CH2 : 1 | Origin : 1 | OCCC : 2 | CCCC : 1",-169.49,1.41,,O[C@@H]1C=CC(=C[C@H]1OC(=C)C([O-])=O)C([O-])=O,
109,lactate|lac-L|,C3H5O3,-1,">CH- : 1 | -COO : 1 | -CH3 : 1 | -OH : 1 | Origin : 1",-123.17,0.25,,CC(O)C([O-])=O,
110,D-gluconate|glcn|,C6H11O7,-1,">CH- : 4 | -OH : 5 | -COO : 1 | -CH2- : 1 | Origin : 1",-268.66,0.89,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O,
111,glycerate|glyc-R|,C3H5O4,-1,">CH- : 1 | -COO : 1 | -CH2- : 1 | -OH : 2 | Origin : 1",-159.4,0.33,,,
112,benzaldehyde|,C7H6O,0,"aromatic ring =C< : 1 | aromatic ring =CH- : 5 | -CH=O : 1 | Origin : 1 | OCCC : 1",-0.35,0.83,,[H]C(=O)c1ccccc1,
113,"hypoxanthine|Hypoxanthine|hypoxanthine(0,4)|hypoxanthine|hxan|",C5H4N4O,0,"two fused rings >C= : 2 | ring >C=O : 1 | ring =N- : 2 | ring -NH- : 2 | ring =CH- : 2 | amide : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",23.12,2.52,,O=c1[nH]cnc2nc[nH]c12,
114,L-homoserine|,C4H9NO3,0,">CH- : 1 | -CH2- : 2 | -COO : 1 | -NH3 : 1 | -OH : 1 | Origin : 1",-122.53,0.35,,N[C@@H](CCO)C(O)=O,
115,glycolaldehyde|,C2H4O2,0,"-CH2- : 1 | -CH=O : 1 | -OH : 1 | Origin : 1",-70.28,0.22,,[H]C(=O)CO,
116,N-acetylneuraminate|,C11H18NO9,-1,"ring -CH< : 3 | ring -O- : 1 | >CH- : 2 | ring >C< : 1 | -OH : 5 | ring -CH2- : 1 | >C=O : 1 | -COO : 1 | -CH2- : 1 | -CH3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-326.4,1.55,,[H][C@]1(OC(O)(C[C@H](O)[C@H]1NC(C)=O)C([O-])=O)[C@H](O)[C@H](O)CO,
117,5-dehydro-D-fructose|,C6H10O6,0,">CH- : 2 | >C=O : 2 | -OH : 4 | -CH2- : 2 | Origin : 1",-209.4,0.71,,OCC(=O)[C@@H](O)[C@H](O)C(=O)CO,
118,D-erythrose-4-phosphate|,C4H8O7P,-1,"-OPO3 : 1 | -CH2- : 1 | >CH- : 2 | -OH : 2 | -CH=O : 1 | Origin : 1",-355.62,0.47,,[H]C(=O)[C@H](O)[C@H](O)COP(O)(O)=O,
119,"4-androstene-3,17-dione|",C19H26O2,0,"two fused rings >CH- : 3 | ring -CH2- : 8 | two fused rings >C< : 2 | two fused rings >C= : 1 | -CH3 : 2 | ring >C=O : 2 | ring =CH- : 1 | Origin : 1 | OCCC : 1",-18.43,6.89,,[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=O)CC[C@@]21[H],
120,H2|h2|,H2,0,"H2 : 1",4.21,0.5,,,"no exact name match in CHEBI"
121,inosine|,C10H12N4O5,0,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | -OH : 3 | -CH2- : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-101.08,2.75,,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(O)ncnc12,
122,orotate|,C5H3N2O4,-1,"ring =C< : 1 | ring =CH- : 1 | -COO : 1 | ring >C=O : 2 | amide : 2 | ring -NH- : 2 | Origin : 1 | OCCC : 2",-142.48,1.55,,[O-]C(=O)c1cc(=O)[nH]c(=O)[nH]1,
123,quinate|,C7H11O6,-1,"ring >C< : 1 | -COO : 1 | ring -CH2- : 2 | -OH : 4 | ring -CH< : 3 | Origin : 1",-221.05,1.05,,,
124,uridine|,C9H12N2O6,0,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 2 | ring =CH- : 2 | -OH : 3 | -CH2- : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-185.27,1.9,,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=CC(=O)NC2=O,
125,"creatine|Creatine|creatine(0,9)|creatine|",C4H9N3O2,0,"-N< : 1 | -CH2- : 1 | =C< : 1 | -CH3 : 1 | -COO : 1 | -NH2 : 1 | =NH2 : 1 | Origin : 1",-65.59,1.83,,CN(CC(O)=O)C(N)=N,
126,CDP-choline|,C14H25N4O11P2,-1,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 2 | ring =N- : 1 | -CH2- : 3 | ring =C< : 1 | -OPO3- : 1 | -NH2 : 1 | -OPO2- : 1 | >N< : 1 | -CH3 : 3 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-479.69,2.78,,C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O,
127,isocitrate|icit|,C6H5O7,-3,">CH- : 2 | -CH2- : 1 | -COO : 3 | -OH : 1 | Origin : 1",-279.02,0.48,,OC(C(CC(O)=O)C(O)=O)C(O)=O,
128,oxalyl-CoA|,C23H32N7O19P3S,-4,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 6 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 3 | -COO : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | OCCO : 1 | heteroaromatic : 2",-862.82,3.53,,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(O)=O,
129,L-citrulline|citr-L|,C6H13N3O3,0,"-CH2- : 3 | >CH- : 1 | -COO : 1 | -NH3 : 1 | >C=O : 1 | amide : 2 | -NH- : 1 | -NH2 : 1 | Origin : 1",-123.87,1.02,,N[C@@H](CCCNC(N)=O)C(O)=O,
130,indole-3-pyruvate|,C11H8NO3,-1,"aromatic ring fused to nonaromatic ring >C=  : 2 | ring =C< : 1 | aromatic ring =CH- : 4 | -CH2- : 1 | ring =CH- : 1 | ring -NH- : 1 | >C=O : 1 | -COO : 1 | Origin : 1 | OCCO : 1 | heteroaromatic : 1",-49.77,1.58,,[O-]C(=O)C(=O)Cc1c[nH]c2ccccc12,
131,acetoacetyl-CoA|aacoa|,C25H37N7O18P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 7 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 4 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-812.61,3.58,,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
132,α-D-galacturonate|CHEBI:58658,C6H9O7,-1,"ring -CH< : 5 | ring -O- : 1 | -COO : 1 | -OH : 4 | Origin : 1",-261.5,1.5,,O[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C([O-])=O,
133,S-dihydroorotate|,C5H5N2O4,-1,"ring -CH< : 1 | ring -CH2- : 1 | -COO : 1 | ring >C=O : 2 | amide : 2 | ring -NH- : 2 | Origin : 1",-151.52,1.44,,[O-]C(=O)[C@@H]1CC(=O)NC(=O)N1,
134,thioredoxin-red|,C6H9NO2R2S2,0,">CH- : 2 | >C=O : 2 | -CH2- : 2 | RW : 2 | -SH : 2 | amide : 1 | -NH- : 1 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
135,thioredoxin-ox|,C6H7NO2R2S2,0,"ring -CH< : 2 | >C=O : 1 | ring -CH2- : 2 | ring >C=O : 1 | RW : 2 | ring -S- : 2 | amide : 1 | ring -NH- : 1 | Origin : 1",None,None,"Involves groups with unknown energy",,"no exact name match in CHEBI"
136,6-phospho-D-gluconate|,C6H11O10P,-2,"-OPO3 : 1 | -CH2- : 1 | >CH- : 4 | -OH : 4 | -COO : 1 | Origin : 1",-481.16,0.82,,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O,
137,2-methyl-3-oxopropanoate|,C4H5O3,-1,">CH- : 1 | -COO : 1 | -CH=O : 1 | -CH3 : 1 | Origin : 1",-112.07,0.27,,CC(C=O)C([O-])=O,
138,D-glucosamine-6-phosphate|,C6H14NO8P,0,"-OPO3 : 1 | -CH2- : 1 | ring -CH< : 5 | ring -O- : 1 | -OH : 3 | -NH3 : 1 | Origin : 1",-395.53,1.48,,[H]C(=O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,
139,"D-fructose-1,6-bisphosphate|",C6H12O12P2,-2,"ring >C< : 1 | ring -O- : 1 | ring -CH< : 3 | -CH2- : 2 | -OH : 3 | -OPO3 : 2 | Origin : 1",-644.17,1.3,,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)C(=O)COP(O)(O)=O,
140,laminaribiose|beta-laminaribiose|,C12H22O11,0,"ring -CH< : 10 | -O- : 1 | -OH : 8 | ring -O- : 2 | -CH2- : 2 | Origin : 1",-376.76,3.02,,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)C(O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,
141,dGDP|,C10H13N5O10P2,-2,"two fused rings >C= : 2 | ring -N< : 1 | ring =N- : 2 | ring -CH< : 3 | ring =CH- : 1 | ring >C=O : 1 | ring =C< : 1 | ring -O- : 1 | ring -CH2- : 1 | -NH2 : 1 | -CH2- : 1 | -OH : 1 | -OPO2- : 1 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-476.46,2.69,,Nc1nc2n(cnc2c(=O)[nH]1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1,
142,dGMP|,C10H13N5O7P,-1,"two fused rings >C= : 2 | ring -N< : 1 | ring =N- : 2 | ring -CH< : 3 | ring =CH- : 1 | ring >C=O : 1 | ring =C< : 1 | ring -O- : 1 | ring -CH2- : 1 | -NH2 : 1 | -CH2- : 1 | -OH : 1 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-268.46,2.68,,Nc1nc2n(cnc2c(=O)[nH]1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,
143,dTDP|,C10H14N2O11P2,-2,"ring -CH< : 3 | ring -O- : 1 | ring -CH2- : 1 | ring >C=O : 2 | ring =CH- : 1 | ring =C< : 1 | -CH2- : 1 | -OH : 1 | -CH3 : 1 | -OPO2- : 1 | -OPO3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-566.34,1.77,,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)c(=O)[nH]c1=O,
144,dTMP|,C10H14N2O8P,-1,"ring -CH< : 3 | ring -O- : 1 | ring -CH2- : 1 | ring >C=O : 2 | ring =CH- : 1 | ring =C< : 1 | -CH2- : 1 | -OH : 1 | -CH3 : 1 | -OPO3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-358.34,1.77,,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)c(=O)[nH]c1=O,
145,O-phosphorylethanolamine|,C2H8NO4P,0,"-OPO3 : 1 | -CH2- : 2 | -NH3 : 1 | Origin : 1",-257.01,0.31,,NCCOP(O)(O)=O,
146,urate|CHEBI:17775,C5H4N4O3,0,"two fused rings >C= : 2 | ring >C=O : 3 | amide : 4 | ring -NH- : 4 | Origin : 1 | OCCC : 1",-90.93,3.24,,O=c1[nH]c2[nH]c(=O)[nH]c(=O)c2[nH]1,
147,thiamine|,C12H17N4OS,1,"dbl sgl ring =N< : 1 | ring =C< : 5 | -CH2- : 3 | ring =CH- : 2 | -CH3 : 2 | ring -S- : 1 | ring =N- : 2 | -NH2 : 1 | -OH : 1 | Origin : 1 | heteroaromatic : 2",52.18,2.57,,,
148,xanthine|,C5H4N4O2,0,"two fused rings >C= : 2 | ring =N- : 1 | ring >C=O : 2 | ring -NH- : 3 | ring =CH- : 1 | amide : 2 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",-27.73,2.67,,,
149,guanosine|,C10H13N5O5,0,"two fused rings >C= : 2 | ring -N< : 1 | ring =N- : 2 | ring -CH< : 4 | ring =CH- : 1 | ring >C=O : 1 | ring =C< : 1 | ring -O- : 1 | -NH2 : 1 | -OH : 3 | -CH2- : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-95.8,2.75,,Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,
150,cyclohexanone|,C6H10O,0,"ring >C=O : 1 | ring -CH2- : 5 | Origin : 1",-14.2,1.27,,O=C1CCCCC1,
151,cis-aconitate|acon-C|,C6H3O6,-3,"=C< : 1 | -CH2- : 1 | =CH- : 1 | -COO : 3 | Origin : 1 | OCCC : 2",-222.28,0.75,,[O-]C(=O)C\C(=C\C([O-])=O)C([O-])=O,
152,trans-cinnamate|,C9H7O2,-1,"aromatic ring =C< : 1 | =CH- : 2 | aromatic ring =CH- : 5 | -COO : 1 | Origin : 1 | OCCC : 1 | CCCC : 1",-32.27,1.04,,[O-]C(=O)\C=C\c1ccccc1,
153,N2-acetyl-L-ornithine|CHEBI:16543,C7H14N2O3,0,">CH- : 1 | -COO : 1 | -CH2- : 3 | >C=O : 1 | -CH3 : 1 | -NH3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-115.26,0.76,,CC(=O)N[C@@H](CCCN)C(O)=O,
154,N-carbamoyl-L-aspartate|,C5H6N2O5,-2,">CH- : 1 | -CH2- : 1 | -COO : 2 | >C=O : 1 | amide : 2 | -NH- : 1 | -NH2 : 1 | Origin : 1",-203.96,0.99,,NC(=O)N[C@@H](CC([O-])=O)C([O-])=O,
155,N-formimino-L-glutamate|,C6H9N2O4,-1,">CH- : 1 | -CH2- : 2 | -NH- : 1 | -COO : 2 | =CH- : 1 | =NH2 : 1 | Origin : 1",-157.18,1.48,,[H]C(=N)N[C@@H](CCC(O)=O)C(O)=O,
156,L-aspartate-4-semialdehyde|,C4H7NO3,0,">CH- : 1 | -CH2- : 1 | -COO : 1 | -NH3 : 1 | -CH=O : 1 | Origin : 1",-113.05,0.33,,[H]C(=O)C[C@H](N)C([O-])=O,
157,beta-nicotinamide-mononucleotide|CHEBI:16171,C11H15N2O8P,0,"ring -CH< : 4 | dbl sgl ring =N< : 1 | ring -O- : 1 | ring =CH- : 4 | -OH : 2 | ring =C< : 1 | -CH2- : 1 | >C=O : 1 | -OPO3 : 1 | amide : 1 | -NH2 : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",-337.74,2.01,,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O,
158,dTTP|,C10H14N2O14P3,-3,"ring -CH< : 3 | ring -O- : 1 | ring -CH2- : 1 | ring >C=O : 2 | ring =CH- : 1 | ring =C< : 1 | -CH2- : 1 | -OH : 1 | -CH3 : 1 | -OPO2- : 2 | -OPO3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-774.34,1.78,,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)c(=O)[nH]c1=O,
159,estrone|,C18H22O2,0,"two fused rings >CH- : 3 | two fused rings >C< : 1 | ring -CH2- : 6 | ring >C=O : 1 | -CH3 : 1 | aromatic ring fused to nonaromatic ring >C=  : 2 | aromatic ring =CH- : 3 | aromatic ring =C< : 1 | -OH : 1 | Origin : 1",-16.98,4.32,,[H][C@]12CC[C@]3(C)C(=O)CC[C@@]3([H])[C@]1([H])CCc1cc(O)ccc21,
160,retinol|,C20H30O,0,"ring =C< : 2 | ring >C< : 1 | =CH- : 6 | ring -CH2- : 3 | -CH3 : 5 | =C< : 2 | -CH2- : 1 | -OH : 1 | Origin : 1 | CCCC : 4",70.9,2.67,,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CCO,
161,cytidine|,C9H13N3O5,0,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 3 | ring =N- : 1 | -CH2- : 1 | ring =C< : 1 | -NH2 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-132.88,1.93,,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,
162,lyxose|xylose|arabinose|,C5H10O5,0,"ring -CH< : 4 | -OH : 4 | ring -CH2- : 1 | ring -O- : 1 | Origin : 1",-180.06,1.37,,,
163,sinapate|,C11H11O5,-1,"aromatic ring =C< : 4 | aromatic ring =CH- : 2 | -O- : 2 | -OH : 1 | -CH3 : 2 | =CH- : 2 | -COO : 1 | Origin : 1 | OCCC : 1 | CCCC : 1",-121.41,1.69,,COc1cc(cc(OC)c1O)\C=C\C([O-])=O,
164,carnitine|,C7H15NO3,0,"-CH2- : 2 | >N< : 1 | >CH- : 1 | -CH3 : 3 | -OH : 1 | -COO : 1 | Origin : 1",-65.83,1.98,,C[N+](C)(C)CC(O)CC([O-])=O,
165,raffinose|,C18H32O16,0,"ring >C< : 1 | -O- : 2 | ring -O- : 3 | ring -CH< : 13 | -CH2- : 4 | -OH : 11 | Origin : 1",-536.13,4.25,,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,
166,shikimate|,C7H9O5,-1,"ring =C< : 1 | ring -CH2- : 1 | ring =CH- : 1 | -COO : 1 | ring -CH< : 3 | -OH : 3 | Origin : 1 | OCCC : 1",-171.29,0.95,,O[C@@H]1CC(=C[C@@H](O)[C@H]1O)C([O-])=O,
167,ADPglucose|,C16H23N5O15P2,-2,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 9 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 2 | ring =C< : 1 | -OH : 6 | -NH2 : 1 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | Origin : 1 | heteroaromatic : 2",-622.63,3.92,,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O,
168,allantoate|,C4H7N4O4,-1,">CH- : 1 | -COO : 1 | >C=O : 2 | amide : 4 | -NH- : 2 | -NH2 : 2 | Origin : 1",-166.94,1.9,,NC(=O)NC(NC(N)=O)C([O-])=O,
